,double,,,,,,,,,float,,,,,,,,
,example1_double_seq,,,example1_double_seq_kahan,,,example1_double_seq_neumaier,,,example1_float_seq,,,example1_float_seq_kahan,,,example1_float_seq_neumaier,,
n,mean,standard deviation,coefficient of variation,mean,standard deviation,coefficient of variation,mean,standard deviation,coefficient of variation,mean,standard deviation,coefficient of variation,mean,standard deviation,coefficient of variation,mean,standard deviation,coefficient of variation
32 768,"0,0001","0,0000","0,0272","0,0002","0,0000","0,0374","0,0001","0,0000","0,2118","0,0001","0,0000","0,0770","0,0002","0,0000","0,0176","0,0001","0,0000","0,0314"
65 536,"0,0001","0,0000","0,1517","0,0004","0,0000","0,0086","0,0002","0,0000","0,0251","0,0001","0,0000","0,0233","0,0004","0,0000","0,0132","0,0002","0,0000","0,0150"
131 072,"0,0003","0,0000","0,1364","0,0008","0,0000","0,0084","0,0004","0,0000","0,0138","0,0003","0,0000","0,0223","0,0008","0,0000","0,0076","0,0004","0,0000","0,0120"
262 144,"0,0005","0,0000","0,0104","0,0015","0,0000","0,0085","0,0009","0,0001","0,1387","0,0005","0,0000","0,0115","0,0015","0,0000","0,0108","0,0009","0,0000","0,0106"
524 288,"0,0010","0,0000","0,0122","0,0030","0,0000","0,0076","0,0018","0,0000","0,0100","0,0010","0,0000","0,0140","0,0030","0,0000","0,0146","0,0018","0,0000","0,0132"
1 048 576,"0,0021","0,0000","0,0118","0,0060","0,0001","0,0094","0,0035","0,0000","0,0119","0,0021","0,0000","0,0123","0,0059","0,0001","0,0141","0,0036","0,0001","0,0174"
2 097 152,"0,0042","0,0001","0,0144","0,0120","0,0001","0,0092","0,0071","0,0001","0,0137","0,0041","0,0001","0,0130","0,0118","0,0002","0,0154","0,0071","0,0001","0,0117"
4 194 304,"0,0085","0,0001","0,0141","0,0240","0,0003","0,0107","0,0143","0,0001","0,0102","0,0083","0,0001","0,0145","0,0237","0,0003","0,0137","0,0141","0,0002","0,0135"
8 388 608,"0,0170","0,0002","0,0133","0,0473","0,0007","0,0149","0,0286","0,0004","0,0125","0,0166","0,0002","0,0120","0,0471","0,0007","0,0159","0,0281","0,0004","0,0130"
16 777 216,"0,0339","0,0005","0,0138","0,0940","0,0013","0,0139","0,0572","0,0008","0,0132","0,0330","0,0004","0,0116","0,0939","0,0015","0,0165","0,0562","0,0007","0,0129"
33 554 432,"0,0675","0,0009","0,0129","0,1874","0,0028","0,0150","0,1146","0,0014","0,0119","0,0655","0,0009","0,0145","0,1863","0,0035","0,0187","0,1120","0,0014","0,0126"
67 108 864,"0,1347","0,0020","0,0147","0,3719","0,0054","0,0145","0,2285","0,0031","0,0135","0,1307","0,0019","0,0145","0,3718","0,0058","0,0156","0,2239","0,0028","0,0127"
134 217 728,"0,2683","0,0032","0,0120","0,7442","0,0103","0,0138","0,4562","0,0057","0,0125","0,2594","0,0037","0,0142","0,7434","0,0117","0,0157","0,4473","0,0050","0,0112"
268 435 456,"0,5315","0,0057","0,0108","1,4855","0,0223","0,0150","0,9107","0,0114","0,0125","0,5141","0,0065","0,0126","1,4851","0,0235","0,0158","0,8967","0,0096","0,0107"
536 870 912,"1,0583","0,0139","0,0131","2,9709","0,0441","0,0148","1,8193","0,0218","0,0120","1,0251","0,0151","0,0147","2,9709","0,0398","0,0134","1,7916","0,0184","0,0103"
1 073 741 824,"2,1054","0,0291","0,0138","5,9548","0,0798","0,0134","3,6341","0,0400","0,0110","2,0445","0,0310","0,0151","5,9216","0,0877","0,0148","3,5893","0,0333","0,0093"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,double,,,,,,,,,float,,,,,,,,
,example2_double_seq,,,example2_double_seq_kahan,,,example2_double_seq_neumaier,,,example2_float_seq,,,example2_float_seq_kahan,,,example2_float_seq_neumaier,,
n,mean,standard deviation,coefficient of variation,mean,standard deviation,coefficient of variation,mean,standard deviation,coefficient of variation,mean,standard deviation,coefficient of variation,mean,standard deviation,coefficient of variation,mean,standard deviation,coefficient of variation
15,"0,0001","0,0000","0,1323","0,0002","0,0000","0,0194","0,0001","0,0000","0,2118","0,0001","0,0000","0,0226","0,0002","0,0000","0,0350","0,0001","0,0000","0,0265"
16,"0,0001","0,0000","0,0202","0,0004","0,0000","0,0123","0,0002","0,0000","0,0251","0,0001","0,0000","0,0248","0,0004","0,0000","0,0137","0,0002","0,0000","0,0185"
17,"0,0003","0,0000","0,0175","0,0008","0,0000","0,0098","0,0004","0,0000","0,0138","0,0003","0,0000","0,0136","0,0008","0,0000","0,0071","0,0004","0,0000","0,0104"
18,"0,0005","0,0000","0,0107","0,0015","0,0000","0,0182","0,0009","0,0001","0,1387","0,0005","0,0000","0,0093","0,0015","0,0000","0,0073","0,0009","0,0000","0,0086"
19,"0,0010","0,0000","0,0147","0,0030","0,0000","0,0159","0,0018","0,0000","0,0100","0,0010","0,0000","0,0148","0,0030","0,0000","0,0132","0,0018","0,0000","0,0090"
20,"0,0021","0,0000","0,0122","0,0059","0,0001","0,0154","0,0035","0,0000","0,0119","0,0021","0,0000","0,0111","0,0059","0,0001","0,0151","0,0035","0,0001","0,0158"
21,"0,0042","0,0001","0,0142","0,0119","0,0002","0,0154","0,0071","0,0001","0,0137","0,0041","0,0001","0,0143","0,0118","0,0002","0,0156","0,0070","0,0001","0,0145"
22,"0,0085","0,0001","0,0157","0,0237","0,0004","0,0149","0,0143","0,0001","0,0102","0,0083","0,0001","0,0130","0,0236","0,0004","0,0153","0,0141","0,0002","0,0115"
23,"0,0171","0,0003","0,0165","0,0473","0,0007","0,0140","0,0286","0,0004","0,0125","0,0166","0,0002","0,0124","0,0470","0,0008","0,0162","0,0281","0,0003","0,0116"
24,"0,0341","0,0005","0,0136","0,0943","0,0013","0,0142","0,0572","0,0008","0,0132","0,0330","0,0004","0,0110","0,0937","0,0016","0,0169","0,0562","0,0007","0,0121"
25,"0,0679","0,0009","0,0135","0,1872","0,0032","0,0169","0,1146","0,0014","0,0119","0,0657","0,0009","0,0142","0,1861","0,0033","0,0179","0,1125","0,0015","0,0130"
26,"0,1356","0,0020","0,0145","0,3716","0,0056","0,0152","0,2285","0,0031","0,0135","0,1310","0,0019","0,0149","0,3715","0,0053","0,0142","0,2248","0,0028","0,0126"
27,"0,2688","0,0035","0,0130","0,7427","0,0099","0,0133","0,4562","0,0057","0,0125","0,2596","0,0037","0,0142","0,7410","0,0110","0,0148","0,4471","0,0059","0,0131"
28,"0,5345","0,0058","0,0108","1,4867","0,0207","0,0139","0,9107","0,0114","0,0125","0,5150","0,0066","0,0128","1,4826","0,0225","0,0152","0,8950","0,0090","0,0101"
29,"1,0610","0,0133","0,0125","2,9815","0,0469","0,0157","1,8193","0,0218","0,0120","1,0254","0,0140","0,0137","2,9601","0,0428","0,0144","1,7879","0,0217","0,0121"
30,"2,1067","0,0265","0,0126","5,9506","0,0838","0,0141","3,6341","0,0400","0,0110","2,0381","0,0299","0,0147","5,8845","0,0767","0,0130","3,5667","0,0398","0,0112"